system_id	protein_symbol	swiss_prot_ac	tf_type	gene_symbol	entrez_gene_id	pathway
HsTF000026	Actin filament-associated protein 1-like 2	Q8N4X5	beta-	AFAP1L2	84632	http://www.genome.jp/dbget-bin/www_bget?hsa:84632
HsTF000027	Putative AFG3-like protein 1	O43931	beta-	AFG3L1	172	http://www.genome.jp/dbget-bin/www_bget?hsa:172
HsTF000028	Glycogen debranching enzyme	P35573	beta-	AGL	178	http://www.genome.jp/dbget-bin/www_bget?hsa:178
HsTF000029	1-acyl-sn-glycerol-3-phosphate acyltransferase alpha	Q99943	beta-	AGPAT1	10554	http://www.genome.jp/dbget-bin/www_bget?hsa:10554
HsTF000030	1-acyl-sn-glycerol-3-phosphate acyltransferase beta	O15120	beta-	AGPAT2	10555	http://www.genome.jp/dbget-bin/www_bget?hsa:10555
HsTF000031	1-acyl-sn-glycerol-3-phosphate acyltransferase gamma	Q9NRZ7	beta-	AGPAT3	56894	http://www.genome.jp/dbget-bin/www_bget?hsa:56894
HsTF000032	1-acyl-sn-glycerol-3-phosphate acyltransferase delta	Q9NRZ5	beta-	AGPAT4	56895	http://www.genome.jp/dbget-bin/www_bget?hsa:56895
HsTF000033	1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon	Q9NUQ2	beta-	AGPAT5	55326	http://www.genome.jp/dbget-bin/www_bget?hsa:55326
HsTF000034	1-acyl-sn-glycerol-3-phosphate acyltransferase zeta precursor	Q86UL3	beta-	AGPAT6	137964	http://www.genome.jp/dbget-bin/www_bget?hsa:137964
HsTF000035	1-acyl-sn-glycerol-3-phosphate acyltransferase eta	Q643R3	beta-	AGPAT7	254531	http://www.genome.jp/dbget-bin/www_bget?hsa:254531
HsTF000036	AT-hook-containing transcription factor 1	Q8WYP5	beta-	AHCTF1	25909	http://www.genome.jp/dbget-bin/www_bget?hsa:25909
HsTF000037	Jouberin	Q8N157	beta-	AHI1	54806	http://www.genome.jp/dbget-bin/www_bget?hsa:54806
HsTF000038	Aryl hydrocarbon receptor precursor	P35869	Basic	AHR	196	http://www.genome.jp/dbget-bin/www_bget?hsa:196
HsTF000039	Interferon-inducible protein AIM2	O14862	beta-	AIM2	9447	http://www.genome.jp/dbget-bin/www_bget?hsa:9447
HsTF000040	AH receptor-interacting protein	O00170	beta-	AIP	9049	http://www.genome.jp/dbget-bin/www_bget?hsa:9049
HsTF000041	Aryl-hydrocarbon-interacting protein-like 1	Q9NZN9	beta-	AIPL1	23746	http://www.genome.jp/dbget-bin/www_bget?hsa:23746
HsTF000042	Autoimmune regulator	O43918	Zinc-	AIRE	326	http://www.genome.jp/dbget-bin/www_bget?hsa:326
HsTF000043	A kinase anchor protein 1, mitochondrial precursor	Q92667	beta-	AKAP1	8165	http://www.genome.jp/dbget-bin/www_bget?hsa:8165
HsTF000044	A-kinase anchor protein 13	Q12802	beta-	AKAP13	11214	http://www.genome.jp/dbget-bin/www_bget?hsa:11214
HsTF000045	A-kinase anchor protein 8	O43823	Zinc-	AKAP8	10270	http://www.genome.jp/dbget-bin/www_bget?hsa:10270
HsTF000046	A-kinase anchor protein 8-like	Q9ULX6	Zinc-	AKAP8L	26993	http://www.genome.jp/dbget-bin/www_bget?hsa:26993
HsTF000047	RAC-alpha serine/threonine-protein kinase	P31749	beta-	AKT1	207	http://www.genome.jp/dbget-bin/www_bget?hsa:207
HsTF000048	RAC-beta serine/threonine-protein kinase	P31751	beta-	AKT2	208	http://www.genome.jp/dbget-bin/www_bget?hsa:208
HsTF000049	RAC-gamma serine/threonine-protein kinase	Q9Y243	beta-	AKT3	10000	http://www.genome.jp/dbget-bin/www_bget?hsa:10000
HsTF000050	Chitobiosyldiphosphodolichol beta-mannosyltransferase	Q9BT22	beta-	ALG1	56052	http://www.genome.jp/dbget-bin/www_bget?hsa:56052
HsTF000051	Homeobox protein aristaless-like 3	O95076	Helix	ALX3	257	http://www.genome.jp/dbget-bin/www_bget?hsa:257
HsTF000052	Homeobox protein aristaless-like 4	Q9H161	Helix	ALX4	60529	http://www.genome.jp/dbget-bin/www_bget?hsa:60529
HsTF000053	Autocrine motility factor receptor, isoform 2	Q9UKV5	beta-	AMFR	267	http://www.genome.jp/dbget-bin/www_bget?hsa:267
HsTF000054	Muellerian-inhibiting factor precursor	P03971	beta-	AMH	268	http://www.genome.jp/dbget-bin/www_bget?hsa:268
HsTF000055	Amphiphysin	P49418	beta-	AMPH	273	http://www.genome.jp/dbget-bin/www_bget?hsa:273
HsTF000056	Aminomethyltransferase, mitochondrial precursor	P48728	beta-	AMT	275	http://www.genome.jp/dbget-bin/www_bget?hsa:275
HsTF000057	Anaphase-promoting complex subunit 1	Q9H1A4	beta-	ANAPC1	64682	http://www.genome.jp/dbget-bin/www_bget?hsa:64682
HsTF000058	Anaphase-promoting complex subunit 11	Q9NYG5	beta-	ANAPC11	51529	http://www.genome.jp/dbget-bin/www_bget?hsa:51529
HsTF000059	Anaphase-promoting complex subunit 2	Q9UJX6	Helix	ANAPC2	29882	http://www.genome.jp/dbget-bin/www_bget?hsa:29882
HsTF000060	Anaphase-promoting complex subunit 4	Q9UJX5	beta-	ANAPC4	29945	http://www.genome.jp/dbget-bin/www_bget?hsa:29945
HsTF000061	Anaphase-promoting complex subunit 5	Q9UJX4	beta-	ANAPC5	51433	http://www.genome.jp/dbget-bin/www_bget?hsa:51433
HsTF000062	Anaphase-promoting complex subunit 7	Q9UJX3	beta-	ANAPC7	51434	http://www.genome.jp/dbget-bin/www_bget?hsa:51434
HsTF000063	Protein angel homolog 1	Q9UNK9	beta-	ANGEL1	23357	http://www.genome.jp/dbget-bin/www_bget?hsa:23357
HsTF000064	Protein angel homolog 2	Q5VTE6	beta-	ANGEL2	90806	http://www.genome.jp/dbget-bin/www_bget?hsa:90806
HsTF000065	Ankyrin-1	P16157	beta-	ANK1	286	http://www.genome.jp/dbget-bin/www_bget?hsa:286
HsTF000066	Ankyrin-2	Q01484	beta-	ANK2	287	http://www.genome.jp/dbget-bin/www_bget?hsa:287
HsTF000067	Ankyrin-3	Q12955	beta-	ANK3	288	http://www.genome.jp/dbget-bin/www_bget?hsa:288
HsTF000068	Ankyrin and armadillo repeat-containing protein	Q7Z5J8	beta-	ANKAR	150709	http://www.genome.jp/dbget-bin/www_bget?hsa:150709
HsTF000069	Ankyrin repeat and death domain-containing protein 1A precursor	Q495B1	beta-	ANKDD1A	348094	http://www.genome.jp/dbget-bin/www_bget?hsa:348094
HsTF000070	Ankyrin repeat and fibronectin type-III domain-containing protein 1	Q8N957	beta-	ANKFN1	162282	http://www.genome.jp/dbget-bin/www_bget?hsa:162282
HsTF000071	Ankyrin repeat and FYVE domain-containing protein 1	Q9P2R3	beta-	ANKFY1	51479	http://www.genome.jp/dbget-bin/www_bget?hsa:51479
HsTF000072	Ankyrin repeat and KH domain-containing protein 1	Q8IWZ3	beta-	ANKHD1	54882	http://www.genome.jp/dbget-bin/www_bget?hsa:54882
HsTF000073	Ankyrin repeat and IBR domain-containing protein 1	Q9P2G1	beta-	ANKIB1	54467	http://www.genome.jp/dbget-bin/www_bget?hsa:54467
HsTF000074	Ankyrin repeat and MYND domain-containing protein 1	Q9P2S6	beta-	ANKMY1	51281	http://www.genome.jp/dbget-bin/www_bget?hsa:51281
HsTF000075	Ankyrin repeat and MYND domain-containing protein 2	Q8IV38	beta-	ANKMY2	57037	http://www.genome.jp/dbget-bin/www_bget?hsa:57037
HsTF000076	Ankyrin repeat family A protein 2	Q9H9E1	beta-	ANKRA2	57763	http://www.genome.jp/dbget-bin/www_bget?hsa:57763
HsTF000077	Ankyrin repeat domain-containing protein 1	Q15327	beta-	ANKRD1	27063	http://www.genome.jp/dbget-bin/www_bget?hsa:27063
HsTF000078	Ankyrin repeat domain-containing protein 10	Q9NXR5	beta-	ANKRD10	55608	http://www.genome.jp/dbget-bin/www_bget?hsa:55608
HsTF000079	Ankyrin repeat domain-containing protein 11	Q6UB99	beta-	ANKRD11	29123	http://www.genome.jp/dbget-bin/www_bget?hsa:29123
HsTF000080	Ankyrin repeat domain-containing protein 12	Q6UB98	beta-	ANKRD12	23253	http://www.genome.jp/dbget-bin/www_bget?hsa:23253
HsTF000081	Ankyrin repeat domain-containing protein 13A	Q8IZ07	beta-	ANKRD13A	88455	http://www.genome.jp/dbget-bin/www_bget?hsa:88455
HsTF000082	Ankyrin repeat domain-containing protein 13B	Q86YJ7	beta-	ANKRD13B	124930	http://www.genome.jp/dbget-bin/www_bget?hsa:124930
HsTF000083	Ankyrin repeat domain-containing protein 13C	Q8N6S4	beta-	ANKRD13C	81573	http://www.genome.jp/dbget-bin/www_bget?hsa:81573
HsTF000084	Ankyrin repeat domain-containing protein 15	Q14678	beta-	ANKRD15	23189	http://www.genome.jp/dbget-bin/www_bget?hsa:23189
HsTF000085	Ankyrin repeat domain-containing protein 16	Q6P6B7	beta-	ANKRD16	54522	http://www.genome.jp/dbget-bin/www_bget?hsa:54522
HsTF000086	Ankyrin repeat domain-containing protein 17	O75179	beta-	ANKRD17	26057	http://www.genome.jp/dbget-bin/www_bget?hsa:26057
HsTF000087	Ankyrin repeat domain-containing protein 18A	Q8IVF6	beta-	ANKRD18A	253650	http://www.genome.jp/dbget-bin/www_bget?hsa:253650
HsTF000088	Ankyrin repeat domain-containing protein 19	Q9H560	beta-	ANKRD19	138649	http://www.genome.jp/dbget-bin/www_bget?hsa:138649
HsTF000089	Ankyrin repeat domain-containing protein 2	Q9GZV1	beta-	ANKRD2	26287	http://www.genome.jp/dbget-bin/www_bget?hsa:26287
HsTF000090	Ankyrin repeat domain-containing protein 20A1	Q5TYW2	beta-	ANKRD20A1	84210	http://www.genome.jp/dbget-bin/www_bget?hsa:84210
HsTF000091	Ankyrin repeat domain-containing protein 20A2	Q4UJ75	beta-	ANKRD20A2	441430	http://www.genome.jp/dbget-bin/www_bget?hsa:441430
HsTF000092	Ankyrin repeat domain-containing protein 20A3	Q5VUR7	beta-	ANKRD20A3	441425	http://www.genome.jp/dbget-bin/www_bget?hsa:441425
HsTF000093	Ankyrin repeat domain-containing protein 20A4	Q5SQ80	beta-	ANKRD20A4	441430	http://www.genome.jp/dbget-bin/www_bget?hsa:441430
HsTF000094	Ankyrin repeat domain-containing protein 21	Q86YR6	beta-	ANKRD21	317754	http://www.genome.jp/dbget-bin/www_bget?hsa:317754
HsTF000095	Ankyrin repeat domain-containing protein 22	Q5VYY1	beta-	ANKRD22	118932	http://www.genome.jp/dbget-bin/www_bget?hsa:118932
HsTF000096	Ankyrin repeat domain-containing protein 23	Q86SG2	beta-	ANKRD23	200539	http://www.genome.jp/dbget-bin/www_bget?hsa:200539
HsTF000097	Ankyrin repeat domain-containing protein 25	Q63ZY3	beta-	ANKRD25	25959	http://www.genome.jp/dbget-bin/www_bget?hsa:25959
HsTF000098	Ankyrin repeat domain-containing protein 26	Q9UPS8	beta-	ANKRD26	22852	http://www.genome.jp/dbget-bin/www_bget?hsa:22852
HsTF000099	Ankyrin repeat domain-containing protein 27	Q96NW4	beta-	ANKRD27	84079	http://www.genome.jp/dbget-bin/www_bget?hsa:84079
HsTF000100	Ankyrin repeat domain-containing protein 28	O15084	beta-	ANKRD28	23243	http://www.genome.jp/dbget-bin/www_bget?hsa:23243
HsTF000101	Ankyrin repeat domain-containing protein 29	Q8N6D5	beta-	ANKRD29	147463	http://www.genome.jp/dbget-bin/www_bget?hsa:147463
HsTF000102	Ankyrin repeat domain-containing protein 30A	Q9BXX3	beta-	ANKRD30A	91074	http://www.genome.jp/dbget-bin/www_bget?hsa:91074
HsTF000103	Ankyrin repeat domain-containing protein 32	Q9BQI6	beta-	ANKRD32	84250	http://www.genome.jp/dbget-bin/www_bget?hsa:84250
HsTF000104	Ankyrin repeat domain-containing protein 33	Q7Z3H0	beta-	ANKRD33	341405	http://www.genome.jp/dbget-bin/www_bget?hsa:341405
HsTF000105	Ankyrin repeat domain-containing protein 35	Q8N283	beta-	ANKRD35	148741	http://www.genome.jp/dbget-bin/www_bget?hsa:148741
HsTF000106	Ankyrin repeat domain-containing protein 36A	Q6UX02	beta-	ANKRD36	375248	http://www.genome.jp/dbget-bin/www_bget?hsa:375248
HsTF000107	Ankyrin repeat domain-containing protein 36B	Q8N2N9	beta-	ANKRD36B	57730	http://www.genome.jp/dbget-bin/www_bget?hsa:57730
HsTF000108	Ankyrin repeat domain-containing protein 37	Q7Z713	beta-	ANKRD37	353322	http://www.genome.jp/dbget-bin/www_bget?hsa:353322
HsTF000109	Ankyrin repeat domain-containing protein 38	Q5T7N3	beta-	ANKRD38	163782	http://www.genome.jp/dbget-bin/www_bget?hsa:163782
HsTF000110	Ankyrin repeat domain-containing protein 39	Q53RE8	beta-	ANKRD39	51239	http://www.genome.jp/dbget-bin/www_bget?hsa:51239
HsTF000111	Ankyrin repeat domain-containing protein 40	Q6AI12	beta-	ANKRD40	91369	http://www.genome.jp/dbget-bin/www_bget?hsa:91369
HsTF000112	Ankyrin repeat domain-containing protein 41	Q8NAG6	beta-	ANKRD41	126549	http://www.genome.jp/dbget-bin/www_bget?hsa:126549
HsTF000113	Ankyrin repeat domain-containing protein 42	Q8N9B4	beta-	ANKRD42	338699	http://www.genome.jp/dbget-bin/www_bget?hsa:338699
HsTF000114	Ankyrin repeat domain-containing protein 43 precursor	Q2M3V2	beta-	ANKRD43	134548	http://www.genome.jp/dbget-bin/www_bget?hsa:134548
HsTF000115	Ankyrin repeat domain-containing protein 44	Q8N8A2	beta-	ANKRD44	91526	http://www.genome.jp/dbget-bin/www_bget?hsa:91526
HsTF000116	Ankyrin repeat domain-containing protein 45	Q5TZF3	beta-	ANKRD45	339416	http://www.genome.jp/dbget-bin/www_bget?hsa:339416
HsTF000117	Ankyrin repeat domain-containing protein 46	Q86W74	beta-	ANKRD46	157567	http://www.genome.jp/dbget-bin/www_bget?hsa:157567
HsTF000118	Ankyrin repeat domain-containing protein 47	Q6NY19	beta-	ANKRD47	256949	http://www.genome.jp/dbget-bin/www_bget?hsa:256949
HsTF000119	Ankyrin repeat domain-containing protein 49	Q8WVL7	beta-	ANKRD49	54851	http://www.genome.jp/dbget-bin/www_bget?hsa:54851
HsTF000120	Ankyrin repeat domain-containing protein 5	Q9NU02	beta-	ANKRD5	63926	http://www.genome.jp/dbget-bin/www_bget?hsa:63926
HsTF000121	Ankyrin repeat domain-containing protein 50	Q9ULJ7	beta-	ANKRD50	57182	http://www.genome.jp/dbget-bin/www_bget?hsa:57182
HsTF000122	Ankyrin repeat domain-containing protein 52	Q8NB46	beta-	ANKRD52	283373	http://www.genome.jp/dbget-bin/www_bget?hsa:283373
HsTF000123	Ankyrin repeat domain-containing protein 53	Q8N9V6	beta-	ANKRD53	79998	http://www.genome.jp/dbget-bin/www_bget?hsa:79998
HsTF000124	Ankyrin repeat domain-containing protein 54	Q6NXT1	beta-	ANKRD54	129138	http://www.genome.jp/dbget-bin/www_bget?hsa:129138
HsTF000125	Ankyrin repeat domain-containing protein 55	Q3KP44	beta-	ANKRD55	79722	http://www.genome.jp/dbget-bin/www_bget?hsa:79722
HsTF000126	Ankyrin repeat domain-containing protein 57	Q53LP3	beta-	ANKRD57	65124	http://www.genome.jp/dbget-bin/www_bget?hsa:65124
HsTF000127	Ankyrin repeat domain-containing protein 6	Q9Y2G4	beta-	ANKRD6	22881	http://www.genome.jp/dbget-bin/www_bget?hsa:22881
HsTF000128	Ankyrin repeat domain-containing protein 7	Q92527	beta-	ANKRD7	56311	http://www.genome.jp/dbget-bin/www_bget?hsa:56311
HsTF000129	Ankyrin repeat domain-containing protein 9	Q96BM1	beta-	ANKRD9	122416	http://www.genome.jp/dbget-bin/www_bget?hsa:122416
HsTF000130	Ankyrin repeat and SAM domain-containing protein 1A	Q92625	beta-	ANKS1A	23294	http://www.genome.jp/dbget-bin/www_bget?hsa:23294
HsTF000131	Ankyrin repeat and SAM domain-containing protein 3	Q6ZW76	beta-	ANKS3	124401	http://www.genome.jp/dbget-bin/www_bget?hsa:124401
HsTF000132	Ankyrin repeat and SAM domain-containing protein 4B	Q8N8V4	beta-	ANKS4B	257629	http://www.genome.jp/dbget-bin/www_bget?hsa:257629
HsTF000133	Ankyrin repeat and SAM domain-containing protein 6	Q68DC2	beta-	ANKS6	203286	http://www.genome.jp/dbget-bin/www_bget?hsa:203286
HsTF000134	Ankyrin repeat and zinc finger domain-containing protein 1	Q9H8Y5	Zinc-	ANKZF1	55139	http://www.genome.jp/dbget-bin/www_bget?hsa:55139
HsTF000135	Actin-binding protein anillin	Q9NQW6	beta-	ANLN	54443	http://www.genome.jp/dbget-bin/www_bget?hsa:54443
HsTF000136	Aminopeptidase N	P15144	beta-	ANPEP	290	http://www.genome.jp/dbget-bin/www_bget?hsa:290
HsTF000137	Anthrax toxin receptor 1 precursor	Q9H6X2	beta-	ANTXR1	84168	http://www.genome.jp/dbget-bin/www_bget?hsa:84168
HsTF000138	Anthrax toxin receptor 2 precursor	P58335	beta-	ANTXR2	118429	http://www.genome.jp/dbget-bin/www_bget?hsa:118429
HsTF000139	Aldehyde oxidase	Q06278	beta-	AOX1	316	http://www.genome.jp/dbget-bin/www_bget?hsa:316
HsTF000140	AP-1 complex subunit beta-1	Q10567	beta-	AP1B1	162	http://www.genome.jp/dbget-bin/www_bget?hsa:162
HsTF000141	AP-2 complex subunit beta-1	P63010	beta-	AP2B1	163	http://www.genome.jp/dbget-bin/www_bget?hsa:163
HsTF000142	Apoptotic protease-activating factor 1	O14727	beta-	APAF1	317	http://www.genome.jp/dbget-bin/www_bget?hsa:317
HsTF000143	Amyloid beta A4 precursor protein-binding family A member 1	Q02410	beta-	APBA1	320	http://www.genome.jp/dbget-bin/www_bget?hsa:320
HsTF000144	Amyloid beta A4 precursor protein-binding family A member 2	Q99767	beta-	APBA2	321	http://www.genome.jp/dbget-bin/www_bget?hsa:321
HsTF000145	Amyloid beta A4 precursor protein-binding family A member 3	O96018	beta-	APBA3	9546	http://www.genome.jp/dbget-bin/www_bget?hsa:9546
HsTF000146	Amyloid beta A4 precursor protein-binding family B member 1	O00213	beta-	APBB1	322	http://www.genome.jp/dbget-bin/www_bget?hsa:322
HsTF000147	Amyloid beta A4 precursor protein-binding family B member 1-interacting protein	Q7Z5R6	beta-	APBB1IP	54518	http://www.genome.jp/dbget-bin/www_bget?hsa:54518
HsTF000148	Amyloid beta A4 precursor protein-binding family B member 2	Q92870	beta-	APBB2	323	http://www.genome.jp/dbget-bin/www_bget?hsa:323
HsTF000149	Amyloid beta A4 precursor protein-binding family B member 3	O95704	beta-	APBB3	10307	http://www.genome.jp/dbget-bin/www_bget?hsa:10307
HsTF000150	Adenomatous polyposis coli protein	P25054	beta-	APC	324	http://www.genome.jp/dbget-bin/www_bget?hsa:324
HsTF000151	Serum amyloid P-component precursor	P02743	beta-	APCS	325	http://www.genome.jp/dbget-bin/www_bget?hsa:325
HsTF000152	DNA-(apurinic or apyrimidinic site) lyase	P27695	beta-	APEX1	328	http://www.genome.jp/dbget-bin/www_bget?hsa:328
HsTF000153	DNA-(apurinic or apyrimidinic site) lyase 2	Q9UBZ4	beta-	APEX2	27301	http://www.genome.jp/dbget-bin/www_bget?hsa:27301
HsTF000154	Centromere protein S	Q8N2Z9	beta-	APITD1	378708	http://www.genome.jp/dbget-bin/www_bget?hsa:378708
HsTF000155	Aprataxin and PNK-like factor	Q8IW19	beta-	APLF	200558	http://www.genome.jp/dbget-bin/www_bget?hsa:200558
HsTF000156	Amyloid protein-binding protein 2	Q92624	beta-	APPBP2	10513	http://www.genome.jp/dbget-bin/www_bget?hsa:10513
HsTF000157	DCC-interacting protein 13-alpha	Q9UKG1	beta-	APPL1	26060	http://www.genome.jp/dbget-bin/www_bget?hsa:26060
HsTF000158	DCC-interacting protein 13-beta	Q8NEU8	beta-	APPL2	55198	http://www.genome.jp/dbget-bin/www_bget?hsa:55198
HsTF000159	Androgen-induced proliferation inhibitor	Q9NTI5	beta-	APRIN	23047	http://www.genome.jp/dbget-bin/www_bget?hsa:23047
HsTF000160	Aprataxin	Q7Z2E3	Zinc-	APTX	54840	http://www.genome.jp/dbget-bin/www_bget?hsa:54840
HsTF000161	Androgen receptor	P10275	Zinc-	AR	367	http://www.genome.jp/dbget-bin/www_bget?hsa:367
HsTF000162	N-terminal acetyltransferase complex ARD1 subunit homolog A	P41227	beta-	ARD1A	8260	http://www.genome.jp/dbget-bin/www_bget?hsa:8260
HsTF000163	N-terminal acetyltransferase complex ARD1 subunit homolog B	Q9BSU3	beta-	ARD1B	84779	http://www.genome.jp/dbget-bin/www_bget?hsa:84779
HsTF000164	Arginine-fifty homeobox	A6NJG6	Helix	ARGFX	503582	http://www.genome.jp/dbget-bin/www_bget?hsa:503582
HsTF000165	Rho GTPase-activating protein 10	A1A4S6	beta-	ARHGAP10	79658	http://www.genome.jp/dbget-bin/www_bget?hsa:79658
HsTF000166	Rho GTPase-activating protein 12	Q8IWW6	beta-	ARHGAP12	94134	http://www.genome.jp/dbget-bin/www_bget?hsa:94134
HsTF000167	Rho GTPase-activating protein 20	Q9P2F6	beta-	ARHGAP20	57569	http://www.genome.jp/dbget-bin/www_bget?hsa:57569
HsTF000168	Rho GTPase-activating protein 22	Q7Z5H3	beta-	ARHGAP22	58504	http://www.genome.jp/dbget-bin/www_bget?hsa:58504
HsTF000169	Rho GTPase-activating protein 24	Q8N264	beta-	ARHGAP24	83478	http://www.genome.jp/dbget-bin/www_bget?hsa:83478
HsTF000170	Rho GTPase-activating protein 25	P42331	beta-	ARHGAP25	9938	http://www.genome.jp/dbget-bin/www_bget?hsa:9938
HsTF000171	Rho GTPase-activating protein 9	Q9BRR9	beta-	ARHGAP9	64333	http://www.genome.jp/dbget-bin/www_bget?hsa:64333
HsTF000172	Rho guanine nucleotide exchange factor 1	Q92888	beta-	ARHGEF1	9138	http://www.genome.jp/dbget-bin/www_bget?hsa:9138
HsTF000173	Rho guanine nucleotide exchange factor 4	Q9NR80	beta-	ARHGEF4	50649	http://www.genome.jp/dbget-bin/www_bget?hsa:50649
HsTF000174	AT-rich interactive domain-containing protein 1A	O14497	beta-	ARID1A	8289	http://www.genome.jp/dbget-bin/www_bget?hsa:8289
HsTF000175	AT-rich interactive domain-containing protein 1B	Q8NFD5	beta-	ARID1B	57492	http://www.genome.jp/dbget-bin/www_bget?hsa:57492
HsTF000176	AT-rich interactive domain-containing protein 2	Q68CP9	unknown	ARID2	196528	http://www.genome.jp/dbget-bin/www_bget?hsa:196528
HsTF000177	AT-rich interactive domain-containing protein 3A	Q99856	beta-	ARID3A	1820	http://www.genome.jp/dbget-bin/www_bget?hsa:1820
HsTF000178	AT-rich interactive domain-containing protein 3B	Q8IVW6	beta-	ARID3B	10620	http://www.genome.jp/dbget-bin/www_bget?hsa:10620
HsTF000179	AT-rich interactive domain-containing protein 4A	P29374	beta-	ARID4A	5926	http://www.genome.jp/dbget-bin/www_bget?hsa:5926
HsTF000180	AT-rich interactive domain-containing protein 4B	Q4LE39	beta-	ARID4B	51742	http://www.genome.jp/dbget-bin/www_bget?hsa:51742
HsTF000181	AT-rich interactive domain-containing protein 5A	Q03989	beta-	ARID5A	10865	http://www.genome.jp/dbget-bin/www_bget?hsa:10865
HsTF000182	AT-rich interactive domain-containing protein 5B	Q14865	beta-	ARID5B	84159	http://www.genome.jp/dbget-bin/www_bget?hsa:84159
HsTF000183	Armadillo repeat-containing protein 1	Q9NVT9	beta-	ARMC1	55156	http://www.genome.jp/dbget-bin/www_bget?hsa:55156
HsTF000184	Armadillo repeat-containing protein 10	Q8N2F6	beta-	ARMC10	83787	http://www.genome.jp/dbget-bin/www_bget?hsa:83787
HsTF000185	Armadillo repeat-containing protein 2	Q8NEN0	beta-	ARMC2	84071	http://www.genome.jp/dbget-bin/www_bget?hsa:84071
HsTF000186	Armadillo repeat-containing protein 3	Q5W041	beta-	ARMC3	219681	http://www.genome.jp/dbget-bin/www_bget?hsa:219681
HsTF000187	Armadillo repeat-containing protein 4	Q5T2S8	beta-	ARMC4	55130	http://www.genome.jp/dbget-bin/www_bget?hsa:55130
