This file contains the disease spectrum width (DSW) data of miRNA.
miRNA DSW was defined by Qiu et al. (Qiu et al. Scientific Reports 2012 in press).
For one miRNA, i, 
DSW(i)=n(i)/N
where, n(i) is the number of diseases associated with miRNA i, N is the total number of diseases that have reported associated miRNAs.
DSW of a miRNA represents its role in human disease.

DSW in this file was calculated based on miRNA-disease data in HMDD (version March-15, 2012). We calculated DSW at the miRNA-gene level and at the merged-miRNA-gene (i.e. let-7a-1 and let-7a-2 are merged to let-7a) level, respectively.

Qinghua Cui, Ph.D
Associate Professor
Peking University
cuiqinghua@hsc.pku.edu.cn
March-16, 2012

--------------------------------
DSW data at the merged-miRNA-gene level

miRNA	DSW
hsa-mir-210	8.57142857142857E-02
hsa-mir-203	8.57142857142857E-02
hsa-mir-34c	8.28571428571429E-02
hsa-let-7g	8.28571428571429E-02
hsa-mir-106b	8.28571428571429E-02
hsa-mir-9	.08
hsa-mir-142	7.71428571428571E-02
hsa-mir-150	7.71428571428571E-02
hsa-mir-148a	7.71428571428571E-02
hsa-mir-30a	7.71428571428571E-02
hsa-mir-29c	7.71428571428571E-02
hsa-mir-183	7.42857142857143E-02
hsa-mir-24	7.42857142857143E-02
hsa-mir-125a	7.42857142857143E-02
hsa-mir-141	7.14285714285714E-02
hsa-mir-196a	7.14285714285714E-02
hsa-mir-122	7.14285714285714E-02
hsa-mir-195	7.14285714285714E-02
hsa-mir-486	7.14285714285714E-02
hsa-mir-34b	7.14285714285714E-02
hsa-mir-206	7.14285714285714E-02
hsa-mir-205	6.85714285714286E-02
hsa-mir-375	6.85714285714286E-02
hsa-mir-214	6.57142857142857E-02
hsa-mir-106a	6.57142857142857E-02
hsa-mir-100	6.57142857142857E-02
hsa-mir-26a	6.28571428571429E-02
hsa-mir-25	.06
hsa-mir-15b	.06
hsa-mir-124	.06
hsa-mir-107	.06
hsa-mir-7	5.71428571428571E-02
hsa-mir-30b	5.71428571428571E-02
hsa-mir-10b	5.71428571428571E-02
hsa-mir-192	5.71428571428571E-02
hsa-mir-429	5.71428571428571E-02
hsa-mir-30c	5.71428571428571E-02
hsa-mir-101	5.71428571428571E-02
hsa-mir-27b	5.71428571428571E-02
hsa-mir-93	5.71428571428571E-02
hsa-mir-499	5.42857142857143E-02
hsa-mir-451	5.42857142857143E-02
hsa-mir-218	5.42857142857143E-02
hsa-mir-27a	5.42857142857143E-02
hsa-mir-132	5.42857142857143E-02
hsa-mir-103	5.14285714285714E-02
hsa-mir-224	5.14285714285714E-02
hsa-mir-23a	5.14285714285714E-02
hsa-mir-373	5.14285714285714E-02
hsa-mir-199b	5.14285714285714E-02
hsa-mir-335	4.85714285714286E-02
hsa-mir-127	4.85714285714286E-02
hsa-mir-96	4.85714285714286E-02
hsa-mir-22	4.85714285714286E-02
hsa-mir-23b	4.57142857142857E-02
hsa-mir-20b	4.57142857142857E-02
hsa-mir-342	4.57142857142857E-02
hsa-mir-196b	4.57142857142857E-02
hsa-mir-130a	4.57142857142857E-02
hsa-mir-26b	4.28571428571429E-02
hsa-mir-302b	4.28571428571429E-02
hsa-mir-191	4.28571428571429E-02
hsa-mir-212	4.28571428571429E-02
hsa-mir-194-1	4.28571428571429E-02
hsa-mir-378	4.28571428571429E-02
hsa-mir-18b	4.28571428571429E-02
hsa-mir-204	.04
hsa-mir-30d	.04
hsa-mir-10a	.04
hsa-mir-302a	.04
hsa-mir-99a	.04
hsa-mir-140	3.71428571428571E-02
hsa-mir-372	3.71428571428571E-02
hsa-mir-128	3.71428571428571E-02
hsa-mir-137	3.71428571428571E-02
hsa-mir-135b	3.71428571428571E-02
hsa-mir-302c	3.71428571428571E-02
hsa-mir-181c	3.71428571428571E-02
hsa-mir-193b	3.71428571428571E-02
hsa-mir-193a	3.71428571428571E-02
hsa-mir-338	3.42857142857143E-02
hsa-mir-296	3.42857142857143E-02
hsa-mir-328	3.42857142857143E-02
hsa-mir-98	3.42857142857143E-02
hsa-mir-494	3.42857142857143E-02
hsa-mir-99b	3.14285714285714E-02
hsa-mir-197	3.14285714285714E-02
hsa-mir-135a	3.14285714285714E-02
hsa-mir-30e	3.14285714285714E-02
hsa-mir-194-2	3.14285714285714E-02
hsa-mir-181d	3.14285714285714E-02
hsa-mir-629	3.14285714285714E-02
hsa-mir-152	3.14285714285714E-02
hsa-mir-92b	3.14285714285714E-02
hsa-mir-151	3.14285714285714E-02
hsa-mir-129	2.85714285714286E-02
hsa-mir-28	2.85714285714286E-02
hsa-mir-130b	2.85714285714286E-02
hsa-mir-663	2.85714285714286E-02
hsa-mir-365	2.85714285714286E-02
hsa-mir-497	2.85714285714286E-02
hsa-mir-138	2.85714285714286E-02
hsa-mir-302d	2.85714285714286E-02
hsa-mir-32	2.85714285714286E-02
hsa-mir-149	2.85714285714286E-02
hsa-mir-219	2.85714285714286E-02
hsa-mir-144	2.57142857142857E-02
hsa-mir-339	2.57142857142857E-02
hsa-mir-483	2.57142857142857E-02
hsa-mir-139	2.57142857142857E-02
hsa-mir-449b	2.57142857142857E-02
hsa-mir-367	2.57142857142857E-02
hsa-mir-423	2.57142857142857E-02
hsa-mir-148b	2.57142857142857E-02
hsa-mir-449a	2.57142857142857E-02
hsa-mir-520d	2.57142857142857E-02
hsa-mir-215	2.57142857142857E-02
hsa-mir-184	2.57142857142857E-02
hsa-mir-208a	2.57142857142857E-02
hsa-mir-424	2.57142857142857E-02
hsa-mir-491	2.57142857142857E-02
hsa-mir-320a	2.28571428571429E-02
hsa-mir-452	2.28571428571429E-02
hsa-mir-362	2.28571428571429E-02
hsa-mir-95	2.28571428571429E-02
hsa-mir-542	2.28571428571429E-02
hsa-mir-208b	2.28571428571429E-02
hsa-mir-186	2.28571428571429E-02
hsa-mir-134	.02
hsa-mir-574	.02
hsa-mir-301a	.02
hsa-mir-708	.02
hsa-mir-198	.02
hsa-mir-520h	.02
hsa-mir-326	.02
hsa-mir-185	.02
hsa-mir-433	1.71428571428571E-02
hsa-mir-187	1.71428571428571E-02
hsa-mir-324	1.71428571428571E-02
hsa-mir-376c	1.71428571428571E-02
hsa-mir-520b	1.71428571428571E-02
hsa-mir-381	1.71428571428571E-02
hsa-mir-211	1.71428571428571E-02
hsa-mir-520c	1.71428571428571E-02
hsa-mir-330	1.71428571428571E-02
hsa-mir-153	1.71428571428571E-02
hsa-mir-371	1.71428571428571E-02
hsa-mir-638	1.71428571428571E-02
hsa-mir-484	1.71428571428571E-02
hsa-mir-516a	1.71428571428571E-02
hsa-mir-363	1.71428571428571E-02
hsa-mir-1224	1.71428571428571E-02
hsa-mir-503	1.71428571428571E-02
hsa-mir-345	1.42857142857143E-02
hsa-mir-370	1.42857142857143E-02
hsa-mir-340	1.42857142857143E-02
hsa-mir-33a	1.42857142857143E-02
hsa-mir-376a	1.42857142857143E-02
hsa-mir-520a	1.42857142857143E-02
hsa-mir-488	1.42857142857143E-02
hsa-mir-299	1.42857142857143E-02
hsa-mir-513a	1.42857142857143E-02
hsa-mir-517a	1.42857142857143E-02
hsa-mir-519c	1.42857142857143E-02
hsa-mir-519d	1.42857142857143E-02
hsa-mir-216a	1.42857142857143E-02
hsa-mir-320	1.42857142857143E-02
hsa-mir-383	1.42857142857143E-02
hsa-mir-425	1.42857142857143E-02
hsa-mir-421	1.42857142857143E-02
hsa-mir-539	1.42857142857143E-02
hsa-mir-550	1.42857142857143E-02
hsa-mir-320b	1.14285714285714E-02
hsa-mir-320c	1.14285714285714E-02
hsa-mir-331	1.14285714285714E-02
hsa-mir-323	1.14285714285714E-02
hsa-mir-216b	1.14285714285714E-02
hsa-mir-217	1.14285714285714E-02
hsa-mir-208	1.14285714285714E-02
hsa-mir-33b	1.14285714285714E-02
hsa-mir-346	1.14285714285714E-02
hsa-mir-500	1.14285714285714E-02
hsa-mir-625	1.14285714285714E-02
hsa-mir-622	1.14285714285714E-02
hsa-mir-485	1.14285714285714E-02
hsa-mir-489	1.14285714285714E-02
hsa-mir-608	1.14285714285714E-02
hsa-mir-492	1.14285714285714E-02
hsa-mir-526a	1.14285714285714E-02
hsa-mir-432	1.14285714285714E-02
hsa-mir-498	1.14285714285714E-02
hsa-mir-493	1.14285714285714E-02
hsa-mir-509	1.14285714285714E-02
hsa-mir-516b	1.14285714285714E-02
hsa-mir-518b	1.14285714285714E-02
hsa-mir-519a	1.14285714285714E-02
hsa-mir-519e	1.14285714285714E-02
hsa-mir-520e	1.14285714285714E-02
hsa-mir-532	1.14285714285714E-02
hsa-mir-495	1.14285714285714E-02
hsa-mir-637	1.14285714285714E-02
hsa-mir-409	1.14285714285714E-02
hsa-mir-374b	1.14285714285714E-02
hsa-mir-886	1.14285714285714E-02
hsa-mir-382	1.14285714285714E-02
hsa-mir-650	1.14285714285714E-02
hsa-mir-422a	1.14285714285714E-02
hsa-mir-885	8.57142857142857E-03
hsa-mir-188	8.57142857142857E-03
hsa-mir-671	8.57142857142857E-03
hsa-mir-506	8.57142857142857E-03
hsa-mir-508	8.57142857142857E-03
hsa-mir-512	8.57142857142857E-03
hsa-mir-513b	8.57142857142857E-03
hsa-mir-513c	8.57142857142857E-03
hsa-mir-361	8.57142857142857E-03
hsa-mir-515	8.57142857142857E-03
hsa-mir-504	8.57142857142857E-03
hsa-mir-379	8.57142857142857E-03
hsa-mir-518c	8.57142857142857E-03
hsa-mir-548d	8.57142857142857E-03
hsa-mir-374a	8.57142857142857E-03
hsa-mir-202	8.57142857142857E-03
hsa-mir-744	8.57142857142857E-03
hsa-mir-720	8.57142857142857E-03
hsa-mir-652	8.57142857142857E-03
hsa-mir-658	8.57142857142857E-03
hsa-mir-584	8.57142857142857E-03
hsa-mir-455	8.57142857142857E-03
hsa-mir-628	8.57142857142857E-03
hsa-mir-320d	8.57142857142857E-03
hsa-mir-874	8.57142857142857E-03
hsa-mir-661	8.57142857142857E-03
hsa-mir-154	8.57142857142857E-03
hsa-mir-615	8.57142857142857E-03
hsa-mir-136	8.57142857142857E-03
hsa-mir-487b	8.57142857142857E-03
hsa-mir-640	8.57142857142857E-03
hsa-mir-302f	8.57142857142857E-03
hsa-mir-300	8.57142857142857E-03
hsa-mir-410	8.57142857142857E-03
hsa-mir-301b	8.57142857142857E-03
hsa-mir-602	8.57142857142857E-03
hsa-mir-601	5.71428571428571E-03
hsa-mir-630	5.71428571428571E-03
hsa-mir-1273c	5.71428571428571E-03
hsa-mir-548b	5.71428571428571E-03
hsa-mir-1290	5.71428571428571E-03
hsa-mir-147	5.71428571428571E-03
hsa-mir-1471	5.71428571428571E-03
hsa-mir-636	5.71428571428571E-03
hsa-mir-525	5.71428571428571E-03
hsa-mir-1249	5.71428571428571E-03
hsa-mir-1246	5.71428571428571E-03
hsa-mir-571	5.71428571428571E-03
hsa-mir-1302	5.71428571428571E-03
hsa-mir-575	5.71428571428571E-03
hsa-mir-593	5.71428571428571E-03
hsa-mir-646	5.71428571428571E-03
hsa-mir-190	5.71428571428571E-03
hsa-mir-1274b	5.71428571428571E-03
hsa-mir-590	5.71428571428571E-03
hsa-mir-642	5.71428571428571E-03
hsa-mir-1915	5.71428571428571E-03
hsa-mir-675	5.71428571428571E-03
hsa-mir-297	5.71428571428571E-03
hsa-mir-320e	5.71428571428571E-03
hsa-mir-765	5.71428571428571E-03
hsa-mir-501	5.71428571428571E-03
hsa-mir-450a	5.71428571428571E-03
hsa-mir-514	5.71428571428571E-03
hsa-mir-510	5.71428571428571E-03
hsa-mir-507	5.71428571428571E-03
hsa-mir-220	5.71428571428571E-03
hsa-mir-505	5.71428571428571E-03
hsa-mir-873	5.71428571428571E-03
hsa-mir-298	5.71428571428571E-03
hsa-mir-502	5.71428571428571E-03
hsa-mir-596	5.71428571428571E-03
hsa-mir-526b	5.71428571428571E-03
hsa-mir-767	5.71428571428571E-03
hsa-mir-490	5.71428571428571E-03
hsa-mir-302e	5.71428571428571E-03
hsa-mir-454	5.71428571428571E-03
hsa-mir-105	5.71428571428571E-03
hsa-mir-377	5.71428571428571E-03
hsa-mir-376b	5.71428571428571E-03
hsa-mir-520g	5.71428571428571E-03
hsa-mir-450b	5.71428571428571E-03
hsa-mir-520f	5.71428571428571E-03
hsa-mir-431	5.71428571428571E-03
hsa-mir-519b	5.71428571428571E-03
hsa-mir-942	5.71428571428571E-03
hsa-mir-337	5.71428571428571E-03
hsa-mir-411	5.71428571428571E-03
hsa-mir-922	5.71428571428571E-03
hsa-mir-1296	2.85714285714286E-03
hsa-mir-659	2.85714285714286E-03
hsa-mir-1308	2.85714285714286E-03
hsa-mir-768	2.85714285714286E-03
hsa-mir-1275	2.85714285714286E-03
hsa-mir-1305	2.85714285714286E-03
hsa-mir-1303	2.85714285714286E-03
hcmv-mir-UL148D	2.85714285714286E-03
hsa-mir-769	2.85714285714286E-03
hsa-mir-1293	2.85714285714286E-03
hsa-mir-1286	2.85714285714286E-03
hsa-mir-1285	2.85714285714286E-03
hsa-mir-660	2.85714285714286E-03
hsa-mir-801	2.85714285714286E-03
hsa-mir-1299	2.85714285714286E-03
hsa-mir-935	2.85714285714286E-03
hsa-mir-941	2.85714285714286E-03
hsa-mir-102	2.85714285714286E-03
hsa-mie-130b	2.85714285714286E-03
hsa-mir-1301	2.85714285714286E-03
hsa-mir-1280	2.85714285714286E-03
hsa-mir-1207	2.85714285714286E-03
hsa-mir-758	2.85714285714286E-03
hsa-mir-1236	2.85714285714286E-03
hsa-mir-1234	2.85714285714286E-03
hsa-mir-1233	2.85714285714286E-03
hsa-mir-1229	2.85714285714286E-03
hsa-mir-1227	2.85714285714286E-03
hsa-mir-1273a	2.85714285714286E-03
hsa-mir-718	2.85714285714286E-03
hsa-mir-106c	2.85714285714286E-03
hsa-mir-1202	2.85714285714286E-03
hsa-mir-1184	2.85714285714286E-03
hsa-mir-1179	2.85714285714286E-03
hsa-mir-1183	2.85714285714286E-03
hsa-mir-1180	2.85714285714286E-03
hsa-mir-1181	2.85714285714286E-03
hsa-mir-711	2.85714285714286E-03
hsa-mir-664	2.85714285714286E-03
hsa-mir-1273g	2.85714285714286E-03
hsa-mir-1273f	2.85714285714286E-03
hsa-mir-1273e	2.85714285714286E-03
hsa-mir-1273d	2.85714285714286E-03
hsa-mir-1271	2.85714285714286E-03
hsa-mir-662	2.85714285714286E-03
hsa-mir-1245a	2.85714285714286E-03
hsa-mir-1260	2.85714285714286E-03
hsa-mir-1245b	2.85714285714286E-03
hsa-mir-672	2.85714285714286E-03
hsa-mir-1259	2.85714285714286E-03
hsa-mir-1258	2.85714285714286E-03
hsa-mir-1254	2.85714285714286E-03
hsa-mir-766	2.85714285714286E-03
hsa-mir-1247	2.85714285714286E-03
hsa-mir-1274a	2.85714285714286E-03
hsa-mir-1266	2.85714285714286E-03
hsa-mir-552	2.85714285714286E-03
hsa-mir-2110	2.85714285714286E-03
hsa-mir-521	2.85714285714286E-03
hsa-mir-522	2.85714285714286E-03
hsa-mir-523	2.85714285714286E-03
hsa-mir-524	2.85714285714286E-03
hsa-mir-527	2.85714285714286E-03
hsa-mir-545	2.85714285714286E-03
hsa-mir-1974	2.85714285714286E-03
hsa-mir-548c	2.85714285714286E-03
hsa-mir-517c	2.85714285714286E-03
hsa-mir-557	2.85714285714286E-03
hsa-mir-561	2.85714285714286E-03
hsa-mir-566	2.85714285714286E-03
hsa-mir-567	2.85714285714286E-03
hsa-mir-569	2.85714285714286E-03
hsa-mir-1979	2.85714285714286E-03
hsa-mir-599	2.85714285714286E-03
hsa-mir-548a	2.85714285714286E-03
hsa-mir-453	2.85714285714286E-03
hsa-mir-369	2.85714285714286E-03
hsa-mir-384	2.85714285714286E-03
ebv-mir-BHRF1-1	2.85714285714286E-03
hsa-mir-4257	2.85714285714286E-03
hsa-mir-4306	2.85714285714286E-03
hsa-mir-325	2.85714285714286E-03
hsa-mir-323b	2.85714285714286E-03
hsa-mir-518f	2.85714285714286E-03
hsa-mir-449c	2.85714285714286E-03
hsa-mir-518e	2.85714285714286E-03
hsa-mir-3186	2.85714285714286E-03
hsa-mir-3163	2.85714285714286E-03
hsa-mir-3130	2.85714285714286E-03
hsa-mir-487a	2.85714285714286E-03
hsa-mir-302	2.85714285714286E-03
hsa-mir-29	2.85714285714286E-03
hsa-mir-2355	2.85714285714286E-03
hsa-mir-1972	2.85714285714286E-03
hsa-mir-448	2.85714285714286E-03
hsa-mir-632	2.85714285714286E-03
hsa-mir-614	2.85714285714286E-03
hsa-mir-616	2.85714285714286E-03
hsa-mir-617	2.85714285714286E-03
hsa-mir-619	2.85714285714286E-03
hsa-mir-621	2.85714285714286E-03
hsa-mir-624	2.85714285714286E-03
hsa-mir-147b	2.85714285714286E-03
hsa-mir-1975	2.85714285714286E-03
hsa-mir-1469	2.85714285714286E-03
hsa-mir-610	2.85714285714286E-03
hsa-mir-635	2.85714285714286E-03
hsa-mir-647	2.85714285714286E-03
hsa-mir-648	2.85714285714286E-03
hsa-mir-654	2.85714285714286E-03
hsa-mir-655	2.85714285714286E-03
hsa-mir-1323	2.85714285714286E-03
hsa-mir-1322	2.85714285714286E-03
hsa-mir-627	2.85714285714286E-03
hsa-mir-595	2.85714285714286E-03
hsa-mir-570	2.85714285714286E-03
hsa-mir-572	2.85714285714286E-03
hsa-mir-577	2.85714285714286E-03
hsa-mir-582	2.85714285714286E-03
hsa-mir-583	2.85714285714286E-03
hsa-mir-589	2.85714285714286E-03
hsa-mir-1909	2.85714285714286E-03
hsa-mir-612	2.85714285714286E-03
hsa-mir-592	2.85714285714286E-03
hsa-mir-611	2.85714285714286E-03
hsa-mir-598	2.85714285714286E-03
hsa-mir-329	2.85714285714286E-03
hsa-mir-1827	2.85714285714286E-03
hsa-mir-1826	2.85714285714286E-03
hsa-mir-600	2.85714285714286E-03
hsa-mir-603	2.85714285714286E-03
hsa-mir-605	2.85714285714286E-03
hsa-mir-657	2.85714285714286E-03
hsa-mir-591	2.85714285714286E-03

--------------------------------
DSW data at the miRNA-gene level

mir	DSW
hsa-mir-21	.328571428571429
hsa-mir-155	.211428571428571
hsa-mir-146a	.18
hsa-mir-17	.162857142857143
hsa-mir-20a	.151428571428571
hsa-mir-34a	.145714285714286
hsa-let-7a-1	.128571428571429
hsa-mir-125b-1	.125714285714286
hsa-mir-18a	.125714285714286
hsa-mir-92a-1	.125714285714286
hsa-mir-1-1	.125714285714286
hsa-mir-145	.122857142857143
hsa-mir-221	.122857142857143
hsa-let-7a-3	.12
hsa-let-7a-2	.12
hsa-mir-19b-1	.117142857142857
hsa-mir-16-1	.117142857142857
hsa-mir-126	.117142857142857
hsa-mir-1-2	.114285714285714
hsa-mir-29a	.114285714285714
hsa-mir-200b	.111428571428571
hsa-mir-19a	.108571428571429
hsa-mir-143	.108571428571429
hsa-mir-222	.105714285714286
hsa-mir-16-2	.105714285714286
hsa-mir-29b-1	.102857142857143
hsa-mir-223	.102857142857143
hsa-mir-125b-2	.1
hsa-mir-200c	9.71428571428571E-02
hsa-let-7b	9.71428571428571E-02
hsa-mir-199a-1	9.42857142857143E-02
hsa-let-7c	9.14285714285714E-02
hsa-mir-146b	9.14285714285714E-02
hsa-mir-181a-1	9.14285714285714E-02
hsa-mir-200a	9.14285714285714E-02
hsa-let-7e	8.85714285714286E-02
hsa-mir-181b-1	8.85714285714286E-02
hsa-mir-182	8.85714285714286E-02
hsa-mir-133b	8.85714285714286E-02
hsa-mir-133a-2	8.85714285714286E-02
hsa-mir-15a	8.57142857142857E-02
hsa-mir-203	8.57142857142857E-02
hsa-mir-199a-2	8.57142857142857E-02
hsa-mir-181a-2	8.57142857142857E-02
hsa-mir-133a-1	8.57142857142857E-02
hsa-mir-31	8.57142857142857E-02
hsa-mir-210	8.57142857142857E-02
hsa-let-7i	8.57142857142857E-02
hsa-mir-92a-2	8.57142857142857E-02
hsa-let-7d	8.57142857142857E-02
hsa-let-7f-2	8.57142857142857E-02
hsa-mir-106b	8.28571428571429E-02
hsa-let-7g	8.28571428571429E-02
hsa-let-7f-1	8.28571428571429E-02
hsa-mir-34c	8.28571428571429E-02
hsa-mir-29b-2	.08
hsa-mir-181b-2	.08
hsa-mir-9-1	7.71428571428571E-02
hsa-mir-142	7.71428571428571E-02
hsa-mir-30a	7.71428571428571E-02
hsa-mir-148a	7.71428571428571E-02
hsa-mir-29c	7.71428571428571E-02
hsa-mir-150	7.71428571428571E-02
hsa-mir-125a	7.42857142857143E-02
hsa-mir-183	7.42857142857143E-02
hsa-mir-122	7.14285714285714E-02
hsa-mir-141	7.14285714285714E-02
hsa-mir-34b	7.14285714285714E-02
hsa-mir-9-3	7.14285714285714E-02
hsa-mir-206	7.14285714285714E-02
hsa-mir-486	7.14285714285714E-02
hsa-mir-195	7.14285714285714E-02
hsa-mir-205	6.85714285714286E-02
hsa-mir-375	6.85714285714286E-02
hsa-mir-196a-2	6.85714285714286E-02
hsa-mir-19b-2	6.85714285714286E-02
hsa-mir-9-2	6.57142857142857E-02
hsa-mir-214	6.57142857142857E-02
hsa-mir-106a	6.57142857142857E-02
hsa-mir-24-1	6.57142857142857E-02
hsa-mir-100	6.57142857142857E-02
hsa-mir-26a-1	6.28571428571429E-02
hsa-mir-107	.06
hsa-mir-24-2	.06
hsa-mir-26a-2	.06
hsa-mir-15b	.06
hsa-mir-25	.06
hsa-mir-124-1	.06
hsa-mir-101-1	5.71428571428571E-02
hsa-mir-93	5.71428571428571E-02
hsa-mir-30b	5.71428571428571E-02
hsa-mir-192	5.71428571428571E-02
hsa-mir-27b	5.71428571428571E-02
hsa-mir-429	5.71428571428571E-02
hsa-mir-10b	5.71428571428571E-02
hsa-mir-7-1	5.71428571428571E-02
hsa-mir-124-2	5.71428571428571E-02
hsa-mir-124-3	5.71428571428571E-02
hsa-mir-27a	5.42857142857143E-02
hsa-mir-101-2	5.42857142857143E-02
hsa-mir-7-3	5.42857142857143E-02
hsa-mir-7-2	5.42857142857143E-02
hsa-mir-30c-1	5.42857142857143E-02
hsa-mir-132	5.42857142857143E-02
hsa-mir-451	5.42857142857143E-02
hsa-mir-499	5.42857142857143E-02
hsa-mir-224	5.14285714285714E-02
hsa-mir-103-2	5.14285714285714E-02
hsa-mir-199b	5.14285714285714E-02
hsa-mir-30c-2	5.14285714285714E-02
hsa-mir-218-1	5.14285714285714E-02
hsa-mir-373	5.14285714285714E-02
hsa-mir-23a	5.14285714285714E-02
hsa-mir-335	4.85714285714286E-02
hsa-mir-22	4.85714285714286E-02
hsa-mir-127	4.85714285714286E-02
hsa-mir-96	4.85714285714286E-02
hsa-mir-218-2	4.57142857142857E-02
hsa-mir-130a	4.57142857142857E-02
hsa-mir-196b	4.57142857142857E-02
hsa-mir-342	4.57142857142857E-02
hsa-mir-23b	4.57142857142857E-02
hsa-mir-20b	4.57142857142857E-02
hsa-mir-103-1	4.57142857142857E-02
hsa-mir-196a-1	4.28571428571429E-02
hsa-mir-378	4.28571428571429E-02
hsa-mir-302b	4.28571428571429E-02
hsa-mir-212	4.28571428571429E-02
hsa-mir-191	4.28571428571429E-02
hsa-mir-18b	4.28571428571429E-02
hsa-mir-26b	4.28571428571429E-02
hsa-mir-194-1	4.28571428571429E-02
hsa-mir-302a	.04
hsa-mir-204	.04
hsa-mir-30d	.04
hsa-mir-10a	.04
hsa-mir-99a	.04
hsa-mir-140	3.71428571428571E-02
hsa-mir-137	3.71428571428571E-02
hsa-mir-193a	3.71428571428571E-02
hsa-mir-372	3.71428571428571E-02
hsa-mir-181c	3.71428571428571E-02
hsa-mir-302c	3.71428571428571E-02
hsa-mir-135b	3.71428571428571E-02
hsa-mir-193b	3.71428571428571E-02
hsa-mir-296	3.42857142857143E-02
hsa-mir-328	3.42857142857143E-02
hsa-mir-98	3.42857142857143E-02
hsa-mir-338	3.42857142857143E-02
hsa-mir-494	3.42857142857143E-02
hsa-mir-152	3.14285714285714E-02
hsa-mir-151	3.14285714285714E-02
hsa-mir-194-2	3.14285714285714E-02
hsa-mir-128-2	3.14285714285714E-02
hsa-mir-30e	3.14285714285714E-02
hsa-mir-181d	3.14285714285714E-02
hsa-mir-629	3.14285714285714E-02
hsa-mir-135a-1	3.14285714285714E-02
hsa-mir-99b	3.14285714285714E-02
hsa-mir-92b	3.14285714285714E-02
hsa-mir-197	3.14285714285714E-02
hsa-mir-135a-2	3.14285714285714E-02
hsa-mir-149	2.85714285714286E-02
hsa-mir-219-1	2.85714285714286E-02
hsa-mir-129-2	2.85714285714286E-02
hsa-mir-130b	2.85714285714286E-02
hsa-mir-663	2.85714285714286E-02
hsa-mir-138-2	2.85714285714286E-02
hsa-mir-302d	2.85714285714286E-02
hsa-mir-32	2.85714285714286E-02
hsa-mir-365-1	2.85714285714286E-02
hsa-mir-497	2.85714285714286E-02
hsa-mir-28	2.85714285714286E-02
hsa-mir-491	2.57142857142857E-02
hsa-mir-215	2.57142857142857E-02
hsa-mir-483	2.57142857142857E-02
hsa-mir-449a	2.57142857142857E-02
hsa-mir-339	2.57142857142857E-02
hsa-mir-424	2.57142857142857E-02
hsa-mir-423	2.57142857142857E-02
hsa-mir-367	2.57142857142857E-02
hsa-mir-449b	2.57142857142857E-02
hsa-mir-144	2.57142857142857E-02
hsa-mir-128-1	2.57142857142857E-02
hsa-mir-184	2.57142857142857E-02
hsa-mir-520d	2.57142857142857E-02
hsa-mir-148b	2.57142857142857E-02
hsa-mir-138-1	2.57142857142857E-02
hsa-mir-139	2.57142857142857E-02
hsa-mir-208a	2.57142857142857E-02
hsa-mir-186	2.28571428571429E-02
hsa-mir-95	2.28571428571429E-02
hsa-mir-542	2.28571428571429E-02
hsa-mir-362	2.28571428571429E-02
hsa-mir-452	2.28571428571429E-02
hsa-mir-365-2	2.28571428571429E-02
