TF0000915	ENSRNOT00000026662	STAT5A	GS0014442	ENSRNOG00000012052	1	258001134	258001684	Rattus norvegicus	Diabetes	8776725	
TF0000926	ENSMUST00000109970	Nkx2-2_mouse	GS0014489	ENSMUSG00000035804	19	52338813	52339946	Mus musculus	Diabetes	19759004	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000926	ENSMUST00000109970	Nkx2-2_mouse	GS0014490	ENSMUSG00000000215	7	149864561	149885415	Mus musculus	Diabetes	19759004	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION  
TF0000926	ENSMUST00000109970	Nkx2-2_mouse	GS0014461	ENSMUSG00000029644	5	148081707	148086725	Mus musculus	Diabetes	14701942	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION  
TF0000926	ENSMUST00000109970	Nkx2-2_mouse	GS0014537	ENSMUSG00000047591	15	75577273	75578352	Mus musculus	Diabetes	16847327	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000927	ENSMUST00000111087	Pax6_mouse	GS0014461	ENSMUSG00000029644	5	148081707	148086725	Mus musculus	Diabetes	12052878	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000927	ENSMUST00000111087	Pax6_mouse	GS0014461	ENSMUSG00000029644	5	148081707	148086725	Mus musculus	Diabetes	12052878	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION  
TF0000928	ENSMUST00000041099	Neurod1_MOUSE	GS0014532	ENSMUSG00000067786	2	157385814	157388258	Mus musculus	Diabetes	15793245	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000928	ENSMUST00000041099	Neurod1_MOUSE	GS0014532	ENSMUSG00000067786	2	157385814	157388258	Mus musculus	Diabetes	15793245	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000928	ENSMUST00000041099	Neurod1_MOUSE	GS0014532	ENSMUSG00000067786	2	157385814	157388258	Mus musculus	Diabetes	15793245	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000928	ENSMUST00000041099	Neurod1_MOUSE	GS0014443	ENSRNOG00000020405	1	202935548	202936379	Rattus norvegicus	Diabetes	15793245	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::SUPERSHIFT 
TF0000928	ENSMUST00000041099	Neurod1_MOUSE	GS0014533	ENSRNOG00000017873	1	201472165	201472978	Rattus norvegicus	Diabetes	9108015	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION  
TF0000929	ENSMUST00000047315	FOXA2	GS0014461	ENSMUSG00000029644	5	148081707	148086725	Mus musculus	Diabetes	12052878	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000930	ENSMUST00000041099	NEUROD1_MOUSE/TCF3_MOUSE	GS0014531	ENSMUSG00000068154	2	146047657	146050752	Mus musculus	Diabetes	12890672	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION  
TF0000930	ENSMUST00000041099	NEUROD1_MOUSE/TCF3_MOUSE	GS0014461	ENSMUSG00000029644	5	148081707	148086725	Mus musculus	Diabetes	9111329	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION  
TF0000930	ENSMUST00000041099	NEUROD1_MOUSE/TCF3_MOUSE	GS0014443	ENSRNOG00000020405	1	202935548	202936379	Rattus norvegicus	Diabetes	11981044	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION  
TF0000930	ENSMUST00000041099	NEUROD1_MOUSE/TCF3_MOUSE	GS0014532	ENSMUSG00000067786	2	157385814	157388258	Mus musculus	Diabetes	15793245	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::SUPERSHIFT 
TF0000930	ENSMUST00000041099	NEUROD1_MOUSE/TCF3_MOUSE	GS0014490	ENSMUSG00000000215	7	149864561	149885415	Mus musculus	Diabetes	7774807	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION  
TF0000930	ENSMUST00000041099	NEUROD1_MOUSE/TCF3_MOUSE	GS0014492	ENSMUSG00000027168	2	105509053	105538567	Mus musculus	Diabetes	12962539	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION  
TF0000930	ENSMUST00000041099	NEUROD1_MOUSE/TCF3_MOUSE	GS0014492	ENSMUSG00000027168	2	105509053	105538567	Mus musculus	Diabetes	12962539	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION  
TF0000930	ENSMUST00000041099	NEUROD1_MOUSE/TCF3_MOUSE	GS0014492	ENSMUSG00000027168	2	105509053	105538567	Mus musculus	Diabetes	12962539	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000930	ENSMUST00000041099	NEUROD1_MOUSE/TCF3_MOUSE	GS0014534	ENSMUSG00000041798	11	5800823	5850084	Mus musculus	Diabetes	12540614	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000930	ENSMUST00000041099	NEUROD1_MOUSE/TCF3_MOUSE	GS0014443	ENSRNOG00000020405	1	202935548	202936379	Rattus norvegicus	Diabetes	12540614	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION  
TF0000930	ENSMUST00000041099	NEUROD1_MOUSE/TCF3_MOUSE	GS0014492	ENSMUSG00000027168	2	105509053	105538567	Mus musculus	Diabetes	12962539	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION  
TF0000930	ENSMUST00000041099	NEUROD1_MOUSE/TCF3_MOUSE	GS0014492	ENSMUSG00000027168	2	105509053	105538567	Mus musculus	Diabetes	12962539	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION  
TF0000931	ENST00000333480	MAFA_HUMAN	GS0014536	ENSMUSG00000024041	17	31814878	31818667	Mus musculus	Diabetes	12011435	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION  
TF0000931	ENST00000333480	MAFA_HUMAN	GS0014443	ENSRNOG00000020405	1	202935548	202936379	Rattus norvegicus	Diabetes	12011435	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION  
TF0000932	ENSMUST00000062002	MAFA_MOUSE	GS0014489	ENSMUSG00000035804	19	52338813	52339946	Mus musculus	Diabetes	12917329	
TF0000932	ENSMUST00000062002	MAFA_MOUSE	GS0014490	ENSMUSG00000000215	7	149864561	149885415	Mus musculus	Diabetes	12917329	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000932	ENSMUST00000062002	MAFA_MOUSE	GS0014490	ENSMUSG00000000215	7	149864561	149885415	Mus musculus	Diabetes	12917329	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::SUPERSHIFT 
TF0000932	ENSMUST00000062002	MAFA_MOUSE	GS0014461	ENSMUSG00000029644	5	148081707	148086725	Mus musculus	Diabetes	18522939	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION  
TF0000932	ENSMUST00000062002	MAFA_MOUSE	GS0014461	ENSMUSG00000029644	5	148081707	148086725	Mus musculus	Diabetes	18522939	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION  
TF0000932	ENSMUST00000062002	MAFA_MOUSE	GS0014461	ENSMUSG00000029644	5	148081707	148086725	Mus musculus	Diabetes	18522939	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION  
TF0000932	ENSMUST00000062002	MAFA_MOUSE	GS0014538	ENSMUSG00000005232	2	69049130	69065898	Mus musculus	Diabetes	18753309	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION  
TF0000932	ENSMUST00000062002	MAFA_MOUSE	GS0014538	ENSMUSG00000005232	2	69049130	69065898	Mus musculus	Diabetes	18753309	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION  
TF0000932	ENSMUST00000062002	MAFA_MOUSE	GS0014490	ENSMUSG00000000215	7	149864561	149885415	Mus musculus	Diabetes	18753309	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION  
