TF0000515	FBtr0085558	SRY-DELTA_FLY	GS0001005	FBgn0000166	-	-	-	Drosophila melanogaster	ORegAnno	9154812	PROTEIN BINDING ASSAY::DNASE FOOTPRINTING ASSAY
TF0000526	ENST00000327443	SP1_HUMAN	GS0001054	ENSG00000112715	6	43737921	43754224	Homo sapiens	ORegAnno	15970595	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000526	ENST00000327443	SP1_HUMAN	GS0001054	ENSG00000112715	6	43737921	43754224	Homo sapiens	ORegAnno	15970595	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000526	ENST00000327443	SP1_HUMAN	GS0001054	ENSG00000112715	6	43737921	43754224	Homo sapiens	ORegAnno	15970595	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::UNKNOWN
TF0000526	ENST00000327443	SP1_HUMAN	GS0001054	ENSG00000112715	6	43737921	43754224	Homo sapiens	ORegAnno	15970595	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000526	ENST00000327443	SP1_HUMAN	GS0001054	ENSG00000112715	6	43737921	43754224	Homo sapiens	ORegAnno	15970595	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000526	ENST00000327443	SP1_HUMAN	GS0001054	ENSG00000112715	6	43737921	43754224	Homo sapiens	ORegAnno	15970595	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::DIRECT GEL SHIFT
TF0000526	ENST00000327443	SP1_HUMAN	GS0001054	ENSG00000112715	6	43737921	43754224	Homo sapiens	ORegAnno	15970595	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000526	ENST00000327443	SP1_HUMAN	GS0001071	ENSG00000133315	11	63766030	63933578	Homo sapiens	ORegAnno	15691879	UNKNOWN::UNKNOWN
TF0000526	ENST00000327443	SP1_HUMAN	GS0001072	ENSG00000135517	12	56843286	56848426	Homo sapiens	ORegAnno	9421492	PROTEIN BINDING ASSAY::DNASE FOOTPRINTING ASSAY
TF0000526	ENST00000327443	SP1_HUMAN	GS0001072	ENSG00000135517	12	56843286	56848426	Homo sapiens	ORegAnno	9421492	RNA EXPRESSION ASSAY::NORTHERN BLOT
TF0000526	ENST00000327443	SP1_HUMAN	GS0001072	ENSG00000135517	12	56843286	56848426	Homo sapiens	ORegAnno	9421492	PROTEIN BINDING ASSAY::DNASE FOOTPRINTING ASSAY
TF0000526	ENST00000327443	SP1_HUMAN	GS0001072	ENSG00000135517	12	56843286	56848426	Homo sapiens	ORegAnno	9421492	RNA EXPRESSION ASSAY::NORTHERN BLOT
TF0000526	ENST00000327443	SP1_HUMAN	GS0001072	ENSG00000135517	12	56843286	56848426	Homo sapiens	ORegAnno	9421492	PROTEIN BINDING ASSAY::DNASE FOOTPRINTING ASSAY
TF0000526	ENST00000327443	SP1_HUMAN	GS0001072	ENSG00000135517	12	56843286	56848426	Homo sapiens	ORegAnno	9421492	RNA EXPRESSION ASSAY::NORTHERN BLOT
TF0000526	ENST00000327443	SP1_HUMAN	GS0001072	ENSG00000135517	12	56843286	56848426	Homo sapiens	ORegAnno	9421492	PROTEIN BINDING ASSAY::DNASE FOOTPRINTING ASSAY
TF0000526	ENST00000327443	SP1_HUMAN	GS0001072	ENSG00000135517	12	56843286	56848426	Homo sapiens	ORegAnno	9421492	RNA EXPRESSION ASSAY::NORTHERN BLOT
TF0000526	ENST00000327443	SP1_HUMAN	GS0001072	ENSG00000135517	12	56843286	56848426	Homo sapiens	ORegAnno	9421492	PROTEIN BINDING ASSAY::DNASE FOOTPRINTING ASSAY
TF0000526	ENST00000327443	SP1_HUMAN	GS0001072	ENSG00000135517	12	56843286	56848426	Homo sapiens	ORegAnno	9421492	RNA EXPRESSION ASSAY::NORTHERN BLOT
TF0000526	ENST00000327443	SP1_HUMAN	GS0001072	ENSG00000135517	12	56843286	56848426	Homo sapiens	ORegAnno	9421492	PROTEIN BINDING ASSAY::DNASE FOOTPRINTING ASSAY
TF0000526	ENST00000327443	SP1_HUMAN	GS0001072	ENSG00000135517	12	56843286	56848426	Homo sapiens	ORegAnno	9421492	RNA EXPRESSION ASSAY::NORTHERN BLOT
TF0000526	ENST00000327443	SP1_HUMAN	GS0001074	ENSG00000136634	1	206940947	206945839	Homo sapiens	ORegAnno	11278848	REPORTER GENE ASSAY::STABLE TRANSFECTION LUCIFERASE ASSAY
TF0000526	ENST00000327443	SP1_HUMAN	GS0001080	ENSG00000146648	7	55086714	55324313	Homo sapiens	ORegAnno	8393457	PROTEIN BINDING ASSAY::METHYLATION INTERFERENCE ASSAY
TF0000526	ENST00000327443	SP1_HUMAN	GS0001080	ENSG00000146648	7	55086714	55324313	Homo sapiens	ORegAnno	8393457	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION
TF0000526	ENST00000327443	SP1_HUMAN	GS0001080	ENSG00000146648	7	55086714	55324313	Homo sapiens	ORegAnno	8393457	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION
TF0000526	ENST00000327443	SP1_HUMAN	GS0001080	ENSG00000146648	7	55086714	55324313	Homo sapiens	ORegAnno	8393457	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000526	ENST00000327443	SP1_HUMAN	GS0001080	ENSG00000146648	7	55086714	55324313	Homo sapiens	ORegAnno	8393457	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000526	ENST00000327443	SP1_HUMAN	GS0001084	ENSG00000149925	16	30064444	30081741	Homo sapiens	ORegAnno	8524331	UNKNOWN::UNKNOWN
TF0000526	ENST00000327443	SP1_HUMAN	GS0001095	ENSG00000161021	5	179159851	179223512	Homo sapiens	ORegAnno	10722737	MUTAGENESIS::SITE-DIRECTED
TF0000526	ENST00000327443	SP1_HUMAN	GS0001095	ENSG00000161021	5	179159851	179223512	Homo sapiens	ORegAnno	10722737	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::SUPERSHIFT
TF0000526	ENST00000327443	SP1_HUMAN	GS0001095	ENSG00000161021	5	179159851	179223512	Homo sapiens	ORegAnno	10722737	MUTAGENESIS::SITE-DIRECTED
TF0000526	ENST00000327443	SP1_HUMAN	GS0001095	ENSG00000161021	5	179159851	179223512	Homo sapiens	ORegAnno	10722737	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000526	ENST00000327443	SP1_HUMAN	GS0001095	ENSG00000161021	5	179159851	179223512	Homo sapiens	ORegAnno	10919991	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::SUPERSHIFT
TF0000526	ENST00000327443	SP1_HUMAN	GS0001095	ENSG00000161021	5	179159851	179223512	Homo sapiens	ORegAnno	10919991	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::SUPERSHIFT
TF0000526	ENST00000327443	SP1_HUMAN	GS0001095	ENSG00000161021	5	179159851	179223512	Homo sapiens	ORegAnno	10919991	UNKNOWN::UNKNOWN
TF0000526	ENST00000327443	SP1_HUMAN	GS0001095	ENSG00000161021	5	179159851	179223512	Homo sapiens	ORegAnno	10919991	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000526	ENST00000327443	SP1_HUMAN	GS0001090	ENSG00000159251	15	35080296	35087927	Homo sapiens	ORegAnno	2123467	UNKNOWN::UNKNOWN
TF0000527	ENST00000359597	P53(TP53)_HUMAN	GS0001025	ENSG00000023287	8	53535016	53658403	Homo sapiens	ORegAnno	15618023	UNKNOWN::UNKNOWN
TF0000527	ENST00000359597	P53(TP53)_HUMAN	GS0001025	ENSG00000023287	8	53535016	53658403	Homo sapiens	ORegAnno	15618023	UNKNOWN::UNKNOWN
TF0000528	ENST00000345739	ATF-2_HUMAN	GS0001025	ENSG00000023287	8	53535016	53658403	Homo sapiens	ORegAnno	15618023	UNKNOWN::UNKNOWN
TF0000529	ENST00000343380	E2F1_HUMAN	GS0001025	ENSG00000023287	8	53535016	53658403	Homo sapiens	ORegAnno	15618023	UNKNOWN::UNKNOWN
TF0000530	ENST00000295663	XRCC5_HUMAN	GS0001030	ENSG00000072274	3	195754054	195809060	Homo sapiens	ORegAnno	8022786	PROTEIN BINDING ASSAY::DNASE FOOTPRINTING ASSAY
TF0000530	ENST00000295663	XRCC5_HUMAN	GS0001030	ENSG00000072274	3	195754054	195809060	Homo sapiens	ORegAnno	8022786	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::GEL SHIFT COMPETITION
TF0000533	ENST00000257555	TCF1 (HNF1)_HUMAN	GS0001023	ENSG00000017427	12	102789645	102874423	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000533	ENST00000257555	TCF1 (HNF1)_HUMAN	GS0001023	ENSG00000017427	12	102789645	102874423	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000533	ENST00000257555	TCF1 (HNF1)_HUMAN	GS0001035	ENSG00000084674	2	21224301	21266945	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000533	ENST00000257555	TCF1 (HNF1)_HUMAN	GS0001057	ENSG00000115718	2	128176003	128186822	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000533	ENST00000257555	TCF1 (HNF1)_HUMAN	GS0001057	ENSG00000115718	2	128176003	128186822	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000533	ENST00000257555	TCF1 (HNF1)_HUMAN	GS0001066	ENSG00000129965	11	2153768	2182439	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000533	ENST00000257555	TCF1 (HNF1)_HUMAN	GS0001068	ENSG00000131482	17	41052815	41065386	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000533	ENST00000257555	TCF1 (HNF1)_HUMAN	GS0001076	ENSG00000136872	9	104182860	104198105	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000533	ENST00000257555	TCF1 (HNF1)_HUMAN	GS0001085	ENSG00000150526	14	39703120	39722859	Homo sapiens	ORegAnno	12586826	UNKNOWN::UNKNOWN
TF0000533	ENST00000257555	TCF1 (HNF1)_HUMAN	GS0001097	ENSG00000163581	3	170714137	170744539	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000533	ENST00000257555	TCF1 (HNF1)_HUMAN	GS0001102	ENSG00000167165	2	234600253	234681946	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000533	ENST00000257555	TCF1 (HNF1)_HUMAN	GS0001102	ENSG00000167165	2	234600253	234681946	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000533	ENST00000257555	TCF1 (HNF1)_HUMAN	GS0001103	ENSG00000167910	8	59402737	59412795	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000533	ENST00000257555	TCF1 (HNF1)_HUMAN	GS0001109	ENSG00000171759	12	103230663	103352188	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000533	ENST00000257555	TCF1 (HNF1)_HUMAN	GS0001109	ENSG00000171759	12	103230663	103352188	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000533	ENST00000257555	TCF1 (HNF1)_HUMAN	GS0001118	ENSG00000198610	10	5237426	5260912	Homo sapiens	ORegAnno	11284743	UNKNOWN::UNKNOWN
TF0000534	ENST00000239938	EGR1_HUMAN	GS0001037	ENSG00000087085	7	100487615	100494594	Homo sapiens	ORegAnno	7829523	UNKNOWN::UNKNOWN
TF0000534	ENST00000239938	EGR1_HUMAN	GS0001037	ENSG00000087085	7	100487615	100494594	Homo sapiens	ORegAnno	7829523	UNKNOWN::UNKNOWN
TF0000535	ENST00000266304	TEF_HUMAN	GS0001040	ENSG00000092054	14	23881947	23904927	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000535	ENST00000266304	TEF_HUMAN	GS0001078	ENSG00000143632	1	229566992	229569845	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000535	ENST00000266304	TEF_HUMAN	GS0001115	ENSG00000197616	14	23851049	23877486	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000536	ENST00000237302	MYB (C-MYB)_HUMAN	GS0001043	ENSG00000100448	14	25042728	25045466	Homo sapiens	ORegAnno	16019164	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000536	ENST00000237302	MYB (C-MYB)_HUMAN	GS0001043	ENSG00000100448	14	25042728	25045466	Homo sapiens	ORegAnno	16019164	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000537	ENST00000227163	SPI1 (PU.1)_HUMAN	GS0001043	ENSG00000100448	14	25042728	25045466	Homo sapiens	ORegAnno	16019164	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000537	ENST00000227163	SPI1 (PU.1)_HUMAN	GS0001043	ENSG00000100448	14	25042728	25045466	Homo sapiens	ORegAnno	16019164	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000537	ENST00000227163	SPI1 (PU.1)_HUMAN	GS0001056	ENSG00000113916	3	187439165	187463515	Homo sapiens	ORegAnno	15892171	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::UNKNOWN
TF0000537	ENST00000227163	SPI1 (PU.1)_HUMAN	GS0001056	ENSG00000113916	3	187439165	187463515	Homo sapiens	ORegAnno	15892171	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::UNKNOWN
TF0000537	ENST00000227163	SPI1 (PU.1)_HUMAN	GS0001056	ENSG00000113916	3	187439165	187463515	Homo sapiens	ORegAnno	15892171	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::UNKNOWN
TF0000538	ENST00000226574	NFKB1_HUMAN	GS0001046	ENSG00000100985	20	44637547	44645200	Homo sapiens	ORegAnno	16014933	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000538	ENST00000226574	NFKB1_HUMAN	GS0001046	ENSG00000100985	20	44637547	44645200	Homo sapiens	ORegAnno	16014933	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::UNKNOWN
TF0000539	ENST00000371222	AP1(JUN)_HUMAN	GS0001046	ENSG00000100985	20	44637547	44645200	Homo sapiens	ORegAnno	16014933	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000539	ENST00000371222	AP1(JUN)_HUMAN	GS0001046	ENSG00000100985	20	44637547	44645200	Homo sapiens	ORegAnno	16014933	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::UNKNOWN
TF0000540	ENST00000327443	SP1 (SP-1)_HUMAN	GS0001052	ENSG00000109814	4	39500375	39529931	Homo sapiens	ORegAnno	16002992	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000540	ENST00000327443	SP1 (SP-1)_HUMAN	GS0001052	ENSG00000109814	4	39500375	39529931	Homo sapiens	ORegAnno	16002992	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::UNKNOWN
TF0000540	ENST00000327443	SP1 (SP-1)_HUMAN	GS0001057	ENSG00000115718	2	128176003	128186822	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000540	ENST00000327443	SP1 (SP-1)_HUMAN	GS0001078	ENSG00000143632	1	229566992	229569845	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000540	ENST00000327443	SP1 (SP-1)_HUMAN	GS0001090	ENSG00000159251	15	35080296	35087927	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000540	ENST00000327443	SP1 (SP-1)_HUMAN	GS0001102	ENSG00000167165	2	234600253	234681946	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000540	ENST00000327443	SP1 (SP-1)_HUMAN	GS0001110	ENSG00000172845	2	174771187	174830430	Homo sapiens	ORegAnno	16024108	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000540	ENST00000327443	SP1 (SP-1)_HUMAN	GS0001110	ENSG00000172845	2	174771187	174830430	Homo sapiens	ORegAnno	16024108	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::UNKNOWN
TF0000540	ENST00000327443	SP1 (SP-1)_HUMAN	GS0001110	ENSG00000172845	2	174771187	174830430	Homo sapiens	ORegAnno	16024108	RNA EXPRESSION ASSAY::RNASE PROTECTION ASSAY (RPA)
TF0000541	ENST00000361953	FOXM1 (HNF3)_HUMAN	GS0001057	ENSG00000115718	2	128176003	128186822	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000541	ENST00000361953	FOXM1 (HNF3)_HUMAN	GS0001057	ENSG00000115718	2	128176003	128186822	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000541	ENST00000361953	FOXM1 (HNF3)_HUMAN	GS0001068	ENSG00000131482	17	41052815	41065386	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000541	ENST00000361953	FOXM1 (HNF3)_HUMAN	GS0001068	ENSG00000131482	17	41052815	41065386	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000541	ENST00000361953	FOXM1 (HNF3)_HUMAN	GS0001068	ENSG00000131482	17	41052815	41065386	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000541	ENST00000361953	FOXM1 (HNF3)_HUMAN	GS0001068	ENSG00000131482	17	41052815	41065386	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000541	ENST00000361953	FOXM1 (HNF3)_HUMAN	GS0001068	ENSG00000131482	17	41052815	41065386	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000541	ENST00000361953	FOXM1 (HNF3)_HUMAN	GS0001097	ENSG00000163581	3	170714137	170744539	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000541	ENST00000361953	FOXM1 (HNF3)_HUMAN	GS0001097	ENSG00000163581	3	170714137	170744539	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000541	ENST00000361953	FOXM1 (HNF3)_HUMAN	GS0001103	ENSG00000167910	8	59402737	59412795	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000541	ENST00000361953	FOXM1 (HNF3)_HUMAN	GS0001103	ENSG00000167910	8	59402737	59412795	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000542	ENST00000341919	NFIC (NF-I)_HUMAN	GS0001057	ENSG00000115718	2	128176003	128186822	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000542	ENST00000341919	NFIC (NF-I)_HUMAN	GS0001057	ENSG00000115718	2	128176003	128186822	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
TF0000544	ENST00000359597	P53_HUMAN	GS0001062	ENSG00000120889	8	22877646	22926692	Homo sapiens	ORegAnno	15964798	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000544	ENST00000359597	P53_HUMAN	GS0001062	ENSG00000120889	8	22877646	22926692	Homo sapiens	ORegAnno	15964798	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::UNKNOWN
TF0000544	ENST00000359597	P53_HUMAN	GS0001062	ENSG00000120889	8	22877646	22926692	Homo sapiens	ORegAnno	15964798	PROTEIN BINDING ASSAY::CHROMATIN IMMUNOPRECIPITATION (CHIP)
TF0000544	ENST00000359597	P53_HUMAN	GS0001062	ENSG00000120889	8	22877646	22926692	Homo sapiens	ORegAnno	15964798	RNA EXPRESSION ASSAY::RNASE PROTECTION ASSAY (RPA)
TF0000545	ENST00000346473	CHOP_HUMAN	GS0001062	ENSG00000120889	8	22877646	22926692	Homo sapiens	ORegAnno	15994939	REPORTER GENE ASSAY::TRANSIENT TRANSFECTION LUCIFERASE ASSAY
TF0000545	ENST00000346473	CHOP_HUMAN	GS0001062	ENSG00000120889	8	22877646	22926692	Homo sapiens	ORegAnno	15994939	ELECTROPHORETIC MOBILITY SHIFT ASSAY (EMSA)::UNKNOWN
TF0000546	ENST00000338692	HNF4A_HUMAN	GS0001035	ENSG00000084674	2	21224301	21266945	Homo sapiens	ORegAnno	15933209	UNKNOWN::UNKNOWN
